year,playtime_mean,playtime_std_dev,critic_mean,critic_std_dev,peer_mean,peer_std_dev,count_mean,count_std_dev
1979,0.06666666666666668,0.24944382578492943,0,0.0,2.0693333333333337,1.5501718901105417,17.933333333333334,25.960140386540456
1980,0.11428571428571434,0.6663945022680343,62.0,0.0,1.3677142857142854,1.701678307208648,13.714285714285715,49.28260859780132
1981,0.18181818181818188,1.242054638298133,0,0.0,0.6995454545454547,1.4279349698907557,7.712121212121214,23.551854557045328
1982,0.026143790849673238,0.3223223008088353,0,0.0,0.4132679738562093,1.1177702068759727,3.705882352941175,8.507499462078753
1983,0.02843601895734601,0.3498773237022133,54.0,0.0,0.2750236966824647,0.9677326676443982,3.2132701421800953,14.85688485836771
1984,0.12365591397849454,0.7114875903922913,0,0.0,0.5854838709677419,1.3509379586122467,7.537634408602153,31.139491622215
1985,0.32751091703056806,2.6650222487111357,71.0,0.0,0.5604366812227074,1.311999634432327,9.668122270742359,56.950862804731834
1986,0.10937500000000006,0.7524374454896565,58.5,0.5,0.519140625,1.2792087565071657,6.101562500000002,25.44965613831734
1987,0.06340057636887617,0.4636815068845826,81.0,0.0,0.5312680115273776,1.2914434009482638,6.0720461095100875,24.90935722513995
1988,0.2116564417177914,1.7778422379592622,55.666666666666664,11.264496832477201,0.4806441717791412,1.2224517312963596,6.923312883435571,36.66433226161972
1989,0.33710407239819046,3.3622779302983936,72.33333333333333,7.408703590297622,0.5111312217194561,1.2811032031690492,5.28054298642534,20.217214824766945
1990,0.19854280510018213,2.3146633372357455,71.75,12.132085558550928,0.5593078324225867,1.3360047943482578,5.936247723132969,35.84780540570002
1991,0.26386554621848785,1.9659167721527326,80.66666666666666,7.824463062870334,0.7042184873949585,1.4664914463941787,8.605042016806717,37.95198613892285
1992,0.17533432392273415,1.192666141747889,76.85714285714286,7.259054866235714,0.6642347696879652,1.4715251869368682,7.613670133729562,32.828283800526634
1993,0.18324607329842926,1.0324230317129122,65.15384615384616,18.09311876779573,0.7935863874345549,1.564391294439586,10.092931937172763,40.86884272968134
1994,0.28113879003558717,2.164188775651667,78.88888888888889,7.795218540795725,0.7084223013048649,1.4915503417246287,9.026097271648892,40.28274072488677
1995,0.19090909090909125,1.7015792373046996,72.5,20.613506898794938,0.682238636363635,1.4594593838311103,8.422727272727268,36.19782680340426
1996,0.528373266078184,3.834142035309484,82.68,10.37967244184517,0.7591424968474153,1.528374923837638,12.910466582597724,61.60045613159767
1997,0.4399092970521551,3.425149614016051,78.55813953488372,11.430889048785588,0.7513038548752818,1.5488239999934337,14.460317460317444,72.46839260277423
1998,0.5397877984084883,3.962574646988314,81.24444444444445,12.305654627140694,0.9213925729442963,1.6625199138427238,19.672413793103477,118.26394571904969
1999,1.9213759213759194,31.848053104686457,78.50000000000001,12.170661444638084,1.1208108108108112,1.7647972038156836,20.330466830466808,68.7091232459474
2000,0.5929791271347254,4.573912085945991,74.36764705882352,14.130072656826547,0.85644212523719,1.623461980653608,16.519924098671716,81.49266321031598
2001,0.7114210985178706,5.174671765878161,74.78431372549021,12.709906165078698,0.7980557977332191,1.5674221431196802,18.850915431560583,98.90600147933473
2002,0.6231742940603702,5.16628728351554,72.87134502923973,13.712411586742482,0.7999026290165518,1.5630608096634755,21.122687439143164,126.02772658792887
2003,0.7108843537414972,5.3067231039759495,71.86294416243656,12.69143751730928,0.9251445578231277,1.6360363000316955,19.907312925170043,96.61232446762747
2004,0.7338371116708649,5.148885442183111,72.14410480349349,11.375727730737204,0.9826448362720415,1.67322982361195,32.014273719563406,191.5772896214369
2005,0.9766277128547592,8.149548856075567,72.17972350230414,12.433415430942041,1.024031719532554,1.690237861676267,24.003338898163637,111.20080644699075
2006,1.0129969418960252,6.809148990775868,70.01687763713083,12.605660186275962,0.9548853211009172,1.6187765519289707,21.275229357798157,94.66181119947544
2007,1.9586466165413543,37.77448641255447,70.29098360655738,13.657751681727527,0.8131015037593976,1.515697137211823,29.200501253132842,206.18079128883636
2008,0.7868691817736391,3.906569806135112,70.40079365079366,12.935204798519505,0.7038706516413527,1.413195534157216,23.922586967172897,145.38426969226882
2009,0.9509615384615391,8.879959739372689,71.25071225071228,12.889618752021768,0.5537371794871784,1.2739097430703175,20.291666666666636,143.6350237886314
2010,0.784268511401484,11.188739650862763,72.6513761467889,11.820039077528179,0.4753189853958504,1.2040932173253955,20.027158595951867,147.93973186298453
2011,0.6652012956964356,6.008680791794096,71.15937499999995,13.062933231452071,0.3985492827394713,1.1001131366666939,18.3921795465063,158.79291478568388
2012,0.5534322820037096,4.189750536159315,71.4186046511628,12.633211229136405,0.39357699443413874,1.091422556890623,18.177179962894165,141.74398894901736
2013,0.624310263282359,4.922891657009767,71.02823529411761,11.943362535338144,0.383886173734825,1.0690668558466347,20.057070786694137,168.92354861050424
2014,0.5681999999999974,3.0848903967564123,70.81018518518516,10.529327999158097,0.31683700000000253,0.9499553070702884,11.83120000000007,96.17516054865756
2015,1.1205000000000092,8.949009987143862,71.12379110251446,11.077018690710505,0.3831199999999988,1.0394509346765703,13.976899999999992,129.741639292827
2016,1.6014000000000024,6.065205523310803,72.10331384015589,10.834887370900566,0.46014799999999983,1.1182858838847967,15.257000000000065,117.95658756932606
2017,1.6478000000000028,8.92867040269715,73.60909090909087,10.602182840893445,0.4032609999999993,1.0878638039198685,12.599999999999943,106.95759440077188
2018,1.0691000000000048,13.372498838661368,73.62460567823344,10.365608032905198,0.3449839999999977,1.0418234014188794,11.08419999999995,112.52513368292418
2019,0.5446999999999984,2.827401971775512,73.11280487804872,10.166723909868313,0.277211999999999,0.9537465004161251,7.943199999999981,75.49730971206874
2020,0.6404,3.680691217692678,72.72527472527474,9.971735808494739,0.27143600000000206,0.950825030120685,6.271400000000003,59.30527752266214
2021,0.7606,4.464872634241657,72.75185185185191,9.26849983348102,0.2685780000000025,0.9515033357356141,4.051299999999982,32.571571474370145
2022,0.7587999999999989,5.561692418679769,74.06382978723403,10.389037297604984,0.17658499999999966,0.7827900023473691,2.709099999999985,25.751816968711132
2023,0.708899999999999,4.734317352058274,79.0,12.595237195067032,0.12533500000000006,0.6698860856705399,1.5871999999999853,16.16992876174774
2024,0.849900000000005,30.846590897374764,0,0.0,0.05483099999999956,0.44968436868430334,0.5023999999999934,5.680598053022242
